20221202	12:00:08	2e0b785b-d203-4aef-bbb5-8b48a62f842a	GET 	 undefined 	 /css/style.css
20221202	12:00:08	4c4163bb-3011-4390-a2e1-dc4ee3521085	GET 	 undefined 	 /favicon.ico
20221202	12:01:38	62960a00-8c95-48bc-ad80-c77ed9e0da7a	GET 	 undefined 	 /subdir
20221202	12:01:56	cab30a8a-0d73-4fed-b4c2-ef2578117329	GET 	 undefined 	 /subdir/test
20221202	12:02:10	5f7e5c1d-649c-4f14-aeb5-3fd472af19d1	GET 	 undefined 	 /subdir/sem
20221202	12:02:10	86327ffc-7c58-490a-b5c6-024b591a6230	GET 	 undefined 	 /css/style.css
20221202	12:04:58	9b55bcb3-ce66-4324-a1a7-33113dccff3d	GET 	 undefined 	 /subdir/shim
20221202	12:04:58	faff8e28-d259-4002-87b2-8854364ed55a	GET 	 undefined 	 /css/style.css
20221202	12:05:09	c4aa6bf7-8f1d-4fca-b914-e6a0ec0cdfd3	GET 	 undefined 	 /subdir/test
20221202	12:25:06	222a1ca0-1f3f-4926-be2b-02669d831103	GET 	 undefined 	 /
20221202	12:25:06	ec2d4b2b-3025-452b-ac58-f115d4a45e2b	GET 	 undefined 	 /css/style.css
20221202	12:36:54	ac4b8466-751a-40e6-b1c9-2925d824c193	GET 	 undefined 	 /goodboys
20221202	12:38:08	e1a1c857-255f-4fb5-855d-2a99063fea6a	GET 	 undefined 	 /goodboys
20221202	12:38:09	664bf2ee-705e-4497-9a6b-bde029bf0fdc	GET 	 undefined 	 /goodboys
20221202	12:38:09	119bdcb9-c3b4-4a43-84c6-d39a99a7f6ce	GET 	 undefined 	 /goodboys
20221202	12:38:09	10ac89f3-993d-4d81-aef5-2df1e21ea45d	GET 	 undefined 	 /goodboys
20221202	12:38:10	c9abf0a6-7157-42e9-ab97-3be4049ba0fc	GET 	 undefined 	 /goodboys
20221202	12:39:29	9feb2f99-3bdc-496c-8cab-dd952b8ce2b1	GET 	 undefined 	 /goodboys
20221202	12:39:30	c632e355-d85c-4e90-9d33-05399a6e47dc	GET 	 undefined 	 /goodboys
20221202	12:42:53	ca1e5dee-ba35-44e8-be5c-513879c230ed	GET 	 undefined 	 /goodboys
20221202	12:42:54	b5292725-c83b-4ef0-936c-4969a8f2fe59	GET 	 undefined 	 /goodboys
20221202	12:42:54	3d0c7e97-27e7-4ee1-8f5b-bad6e21e4e97	GET 	 undefined 	 /goodboys
20221202	12:46:19	eaea9bce-85b9-424a-a19f-0672e5387b8b	GET 	 undefined 	 /goodboys
20221202	12:46:21	90593a05-e9bc-4a4f-a029-4d6a40be993d	GET 	 undefined 	 /goodboys
20221202	12:46:21	9ec50032-e00c-4640-962d-3b6dce7af455	GET 	 undefined 	 /goodboys
20221202	12:46:21	a4210ec5-28a8-4f24-95c3-fb6f845d7161	GET 	 undefined 	 /goodboys
20221202	12:46:21	d3de0fec-49da-492d-942d-20541e8809ec	GET 	 undefined 	 /goodboys
20221202	12:46:22	a87ccf1b-781c-45f0-bcad-b6670fd64986	GET 	 undefined 	 /goodboys
20221202	12:46:22	7d9c34c3-91a5-45de-997d-35c5c1a22bcd	GET 	 undefined 	 /goodboys
20221202	12:46:22	c01e1cba-d1f2-46b8-bd41-52af0cd1b33e	GET 	 undefined 	 /goodboys
20221202	12:46:25	5c98995d-2f49-42bd-b1a7-9c99b8d1a200	GET 	 undefined 	 /goodboys
20221202	12:46:25	85845d8c-6647-42ea-92fa-c84a4e6966c0	GET 	 undefined 	 /goodboys
20221202	12:46:25	a30ef88d-4936-4c23-b1f5-832d32891460	GET 	 undefined 	 /goodboys
20221202	12:46:26	97eea92e-d38b-4fed-9501-2325c5de81e2	GET 	 undefined 	 /goodboys
20221202	12:46:26	bbe5c8d7-df74-47b9-8c38-c5345d8829ac	GET 	 undefined 	 /goodboys
20221202	12:46:26	87215a73-a38a-44a5-80c4-931d07ddbb74	GET 	 undefined 	 /goodboys
20221202	12:47:22	4dd197a0-9e1d-4dbc-91d1-d4181b09ed47	GET 	 undefined 	 /goodboys
